Product,Amount,Boxes
Raspberry Choco,8414,495
White Choc,532,54
99% Dark & Pure,5376,269
Baker's Choco Chips,259,22
Manuka Honey Choco,5530,179
85% Dark Bars,2184,122
Raspberry Choco,1057,71
Organic Choco Syrup,1036,37
Caramel Stuffed Bars,4039,176
Milk Bars,12894,478
Milk Bars,4669,180
Organic Choco Syrup,6377,246
Mint Chip Choco,4599,256
Orange Choco,2751,251
Eclairs,15596,975
After Nines,8561,330
Mint Chip Choco,14273,752
85% Dark Bars,2506,148
Spicy Special Slims,2387,89
Drinking Coco,7553,280
Peanut Butter Cubes,3409,171
Peanut Butter Cubes,3878,216
Raspberry Choco,3052,204
Choco Coated Almonds,19229,1013
Choco Coated Almonds,1988,95
Orange Choco,147,11
Fruit & Nut Bars,2401,134
Caramel Stuffed Bars,2814,94
Caramel Stuffed Bars,5390,216
50% Dark Bites,3920,262
70% Dark Bites,7539,943
Organic Choco Syrup,17248,664
Almond Choco,1176,66
85% Dark Bars,9730,573
85% Dark Bars,2226,140
Fruit & Nut Bars,7063,643
After Nines,7399,275
Orange Choco,4284,306
Raspberry Choco,4865,271
70% Dark Bites,3780,315
Orange Choco,3059,279
After Nines,6622,276
Smooth Sliky Salty,644,34
After Nines,4935,171
Peanut Butter Cubes,7182,378
Orange Choco,539,77
70% Dark Bites,637,91
Baker's Choco Chips,1470,184
85% Dark Bars,1442,61
Smooth Sliky Salty,9023,564
Milk Bars,2709,101
Choco Coated Almonds,5733,338
50% Dark Bites,10451,1307
Manuka Honey Choco,11228,388
Caramel Stuffed Bars,3073,129
85% Dark Bars,5467,288
Smooth Sliky Salty,4067,226
Mint Chip Choco,2814,149
Caramel Stuffed Bars,2716,105
Orange Choco,3570,325
85% Dark Bars,9562,479
Peanut Butter Cubes,2373,104
Caramel Stuffed Bars,2807,123
Milk Bars,420,14
Raspberry Choco,8239,515
50% Dark Bites,6797,486
85% Dark Bars,6048,319
Raspberry Choco,364,21
White Choc,6496,406
Orange Choco,1057,106
Raspberry Choco,357,17
Drinking Coco,6419,257
Spicy Special Slims,12726,579
85% Dark Bars,6006,376
99% Dark & Pure,5124,285
Milk Bars,2709,113
Milk Bars,7238,315
White Choc,6776,424
Milk Bars,189,8
Fruit & Nut Bars,4669,390
70% Dark Bites,490,35
70% Dark Bites,4235,283
Drinking Coco,4487,187
Baker's Choco Chips,2653,332
Spicy Special Slims,5306,253
50% Dark Bites,6888,689
Organic Choco Syrup,721,24
Spicy Special Slims,8610,345
Fruit & Nut Bars,11739,903
Orange Choco,4774,341
50% Dark Bites,6307,789
99% Dark & Pure,4340,217
70% Dark Bites,1078,77
Almond Choco,5418,247
Choco Coated Almonds,6069,434
Choco Coated Almonds,12334,686
Drinking Coco,728,32
Baker's Choco Chips,2135,165
85% Dark Bars,2121,89
Milk Bars,6881,222
Drinking Coco,1239,50
Mint Chip Choco,3598,257
Smooth Sliky Salty,6580,347
Spicy Special Slims,1127,54
Peanut Butter Cubes,3605,139
After Nines,5096,196
99% Dark & Pure,2135,98
Raspberry Choco,35,3
70% Dark Bites,13090,935
Smooth Sliky Salty,15785,1128
Fruit & Nut Bars,14574,810
Caramel Stuffed Bars,3556,143
Fruit & Nut Bars,14532,969
Caramel Stuffed Bars,4445,159
Milk Bars,10339,357
After Nines,1351,55
Baker's Choco Chips,4011,335
Fruit & Nut Bars,5306,483
After Nines,18704,585
Smooth Sliky Salty,9310,582
Eclairs,1211,61
Raspberry Choco,3094,148
Raspberry Choco,4949,248
99% Dark & Pure,308,19
Caramel Stuffed Bars,7546,329
85% Dark Bars,6713,373
Caramel Stuffed Bars,6895,300
Mint Chip Choco,3430,202
White Choc,4165,348
Almond Choco,2380,159
White Choc,6594,413
Raspberry Choco,1428,76
Drinking Coco,2646,116
Milk Bars,238,11
Raspberry Choco,945,50
Spicy Special Slims,9436,337
Spicy Special Slims,4081,152
99% Dark & Pure,10556,587
White Choc,2331,167
Organic Choco Syrup,896,32
Manuka Honey Choco,4214,169
Orange Choco,2121,177
85% Dark Bars,1029,47
Mint Chip Choco,15407,771
Caramel Stuffed Bars,10129,406
Smooth Sliky Salty,16380,1092
White Choc,3899,279
Spicy Special Slims,12075,432
Manuka Honey Choco,10696,428
Almond Choco,4039,238
Peanut Butter Cubes,5250,202
99% Dark & Pure,8113,508
Eclairs,161,10
Spicy Special Slims,8218,294
Baker's Choco Chips,742,53
After Nines,3087,111
Manuka Honey Choco,5110,155
Raspberry Choco,5873,267
Mint Chip Choco,4641,357
Peanut Butter Cubes,1155,45
50% Dark Bites,784,49
Mint Chip Choco,5369,384
Eclairs,343,18
70% Dark Bites,7007,584
Baker's Choco Chips,126,13
99% Dark & Pure,3073,134
Choco Coated Almonds,7805,488
After Nines,3087,124
Choco Coated Almonds,9030,452
Smooth Sliky Salty,7805,411
After Nines,6979,233
Drinking Coco,11284,513
Milk Bars,2408,90
50% Dark Bites,5299,332
Organic Choco Syrup,6293,234
Almond Choco,280,17
85% Dark Bars,644,30
Choco Coated Almonds,2191,110
Choco Coated Almonds,427,26
Smooth Sliky Salty,5537,426
99% Dark & Pure,742,31
85% Dark Bars,4200,248
Baker's Choco Chips,5299,442
Caramel Stuffed Bars,3829,160
Manuka Honey Choco,5747,192
