Product,Amount,Boxes
Baker's Choco Chips,5971,498
Orange Choco,13335,1667
Choco Coated Almonds,4613,210
Fruit & Nut Bars,10430,580
Almond Choco,168,10
99% Dark & Pure,4606,192
White Choc,1491,136
99% Dark & Pure,12194,509
Raspberry Choco,10122,533
99% Dark & Pure,1841,88
Orange Choco,6958,580
99% Dark & Pure,749,35
Raspberry Choco,3507,195
Baker's Choco Chips,7294,562
Fruit & Nut Bars,5040,420
Organic Choco Syrup,3913,157
50% Dark Bites,3598,300
Spicy Special Slims,8911,319
Peanut Butter Cubes,42,2
Choco Coated Almonds,2282,109
99% Dark & Pure,12964,541
Smooth Sliky Salty,5775,361
Spicy Special Slims,10787,400
Choco Coated Almonds,6342,374
Peanut Butter Cubes,11564,463
Raspberry Choco,2793,156
70% Dark Bites,1603,134
Almond Choco,3052,180
Choco Coated Almonds,1659,83
Mint Chip Choco,3143,210
Choco Coated Almonds,12782,609
70% Dark Bites,343,32
White Choc,1785,138
Orange Choco,4914,615
White Choc,1869,208
Spicy Special Slims,8512,387
Orange Choco,9296,716
Drinking Coco,6034,263
After Nines,9471,365
Peanut Butter Cubes,3815,166
Eclairs,9485,527
Organic Choco Syrup,3549,132
Orange Choco,1512,117
Organic Choco Syrup,2296,96
Milk Bars,17402,697
Fruit & Nut Bars,11816,844
Organic Choco Syrup,10612,425
Milk Bars,5558,192
Raspberry Choco,14056,781
Organic Choco Syrup,5131,166
99% Dark & Pure,1477,87
Raspberry Choco,7686,549
85% Dark Bars,8722,460
Organic Choco Syrup,6370,206
85% Dark Bars,4074,240
After Nines,1309,51
Smooth Sliky Salty,4991,357
Peanut Butter Cubes,6965,367
Manuka Honey Choco,10199,408
Choco Coated Almonds,7392,390
Fruit & Nut Bars,5880,392
After Nines,5950,238
Organic Choco Syrup,10395,336
Drinking Coco,6174,247
70% Dark Bites,15239,1524
Orange Choco,2219,247
70% Dark Bites,3150,243
Baker's Choco Chips,2968,212
Mint Chip Choco,3241,163
Drinking Coco,3605,151
99% Dark & Pure,3640,174
99% Dark & Pure,1309,77
Eclairs,10346,739
Raspberry Choco,1071,54
70% Dark Bites,6328,791
After Nines,1820,68
Choco Coated Almonds,3437,157
White Choc,4550,455
Drinking Coco,2968,110
Eclairs,12565,898
Milk Bars,8246,318
Mint Chip Choco,1190,70
Eclairs,3283,183
Manuka Honey Choco,3087,115
Choco Coated Almonds,6531,297
White Choc,4228,249
Caramel Stuffed Bars,10094,389
Milk Bars,182,6
White Choc,616,37
Smooth Sliky Salty,12131,809
Drinking Coco,2394,93
White Choc,14287,841
Almond Choco,10941,730
Drinking Coco,7777,260
Orange Choco,9436,858
Fruit & Nut Bars,1267,116
After Nines,8806,327
Choco Coated Almonds,3640,243
Caramel Stuffed Bars,4900,182
White Choc,5558,348
Almond Choco,9142,436
Mint Chip Choco,3514,235
50% Dark Bites,140,10
Spicy Special Slims,11844,439
Milk Bars,6517,233
Milk Bars,8715,282
Organic Choco Syrup,4851,180
Organic Choco Syrup,10983,379
Baker's Choco Chips,3290,329
Organic Choco Syrup,6545,212
70% Dark Bites,441,45
Choco Coated Almonds,9849,580
White Choc,3073,308
Organic Choco Syrup,4452,149
85% Dark Bars,10220,538
70% Dark Bites,3150,210
Smooth Sliky Salty,6083,381
Fruit & Nut Bars,14063,1407
70% Dark Bites,4578,306
White Choc,6454,461
Manuka Honey Choco,6650,256
Peanut Butter Cubes,2436,94
Choco Coated Almonds,6944,331
After Nines,19817,684
50% Dark Bites,3521,235
After Nines,10458,327
99% Dark & Pure,1302,57
After Nines,7952,249
Eclairs,4753,265
85% Dark Bars,11452,546
Spicy Special Slims,9345,390
Mint Chip Choco,7490,357
Organic Choco Syrup,1519,57
Smooth Sliky Salty,3087,155
Smooth Sliky Salty,2352,168
Baker's Choco Chips,11578,891
Peanut Butter Cubes,462,22
Caramel Stuffed Bars,6916,315
Orange Choco,3248,542
Milk Bars,6475,240
Peanut Butter Cubes,9009,501
White Choc,2835,189
Milk Bars,7644,294
70% Dark Bites,3360,240
Mint Chip Choco,1379,99
Organic Choco Syrup,9534,382
Peanut Butter Cubes,14448,657
Baker's Choco Chips,3829,240
Orange Choco,9086,758
Milk Bars,5803,194
Manuka Honey Choco,182,7
85% Dark Bars,9863,520
Orange Choco,4046,289
Fruit & Nut Bars,3493,350
Almond Choco,392,18
Spicy Special Slims,2534,111
85% Dark Bars,7084,308
Orange Choco,4809,344
Drinking Coco,7959,266
99% Dark & Pure,10521,527
Fruit & Nut Bars,56,5
Baker's Choco Chips,3017,189
Orange Choco,18949,2707
Milk Bars,8764,338
Raspberry Choco,12201,643
Spicy Special Slims,11935,460
Smooth Sliky Salty,3724,266
Eclairs,2646,166
White Choc,686,46
Smooth Sliky Salty,2037,128
Choco Coated Almonds,6300,300
Peanut Butter Cubes,2541,111
Raspberry Choco,1883,118
Spicy Special Slims,10255,446
After Nines,5803,233
50% Dark Bites,8260,1033
Baker's Choco Chips,14868,1859
Eclairs,4137,276
After Nines,7161,276
Drinking Coco,9625,332
Organic Choco Syrup,12852,429
Eclairs,7546,581
Eclairs,4123,275
Organic Choco Syrup,13174,573
50% Dark Bites,7637,546
Baker's Choco Chips,3311,332
Raspberry Choco,2338,107
Caramel Stuffed Bars,3465,139
Peanut Butter Cubes,2345,107
Organic Choco Syrup,12698,471
85% Dark Bars,6678,334
Baker's Choco Chips,4851,324
Drinking Coco,336,12
Orange Choco,2366,198
99% Dark & Pure,10598,461
Smooth Sliky Salty,13293,665
50% Dark Bites,2086,261
Peanut Butter Cubes,2751,120
Spicy Special Slims,5481,275
Smooth Sliky Salty,5628,433
